label,message
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? You are entitled to an upgrade.
spam,Six chances to win CASH! Text WIN to 86688 now.
ham,"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Sure, I'll be there at 6 pm."
ham,Let’s grab lunch tomorrow at 1?
spam,Congratulations! You've won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tonight?
spam,You have been selected for a free Netflix subscription! Click the link to activate.
ham,Don’t forget to call mom before 8.
spam,You’ve been chosen to receive a $1000 Amazon gift card. Reply YES to claim.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.
ham,U dun say so early hor... U c already then say...
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
